Date,ICICI_Close,Nifty_Close,BankNifty_Close,Gold_Close,USD_INR,Bond_10Y,Bond_5Y,US_10Y,US_5Y,FII_Net,DII_Net,CPI_Index,WPI_Index,Trade_Balance_Billion_USD,Repo_Rate_%,CRR_%,Real_GDP_YoY_Growth_%,Net Profit (₹ Cr),NII (₹ Cr),Nifty_RSI_14,BankNifty_RSI_14,ICICI_RSI_14
2010-01-22,-1.407298072932306,-1.1415035571881393,-1.6441807907996209,0.0,0.23861171366594824,0.01321702352630183,0.5341579983131783,-0.3600113881018552,-0.931417209703167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.746682557850235,29.486751669021928,36.78649148691853
2010-01-25,-1.177582175148928,-0.5579844649771681,-0.8669076945237997,0.5508630434241768,-0.3246050638389897,0.2114444297607987,0.1677852348993314,0.8893847806781041,0.8974422066720056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0145689678301,26.5641306242225,33.41820415142864
2010-01-27,-5.235925289643095,-3.0911121968522637,-4.217738209910083,-1.2296201566444842,0.5210594876248198,-0.514308321244894,-0.34896705750976365,0.38567323756131255,1.274966950198686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.716159061705213,17.536159502295106,23.315983026568432
2010-01-28,0.0952652011793731,0.29156419729696736,1.1290764111110407,-0.07377801642500792,0.1079913606911509,0.06627783669141962,0.0,0.38419151371194005,1.0910626945842772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4723601319171,24.6109906055691,23.744015729292897
2010-01-29,5.367675397441807,0.30406912912834816,2.703042027947533,-0.0553687337998543,-0.5825242718446644,0.5563650814677468,0.21011346126909025,-1.3395304783414441,-2.532165725561497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.375608750340614,38.391968615826144,43.05079847753999
2010-02-01,0.6563576772856017,0.36153647199692607,-0.026582574676436987,1.9667635113688853,0.41232638888890616,0.6191542616255985,0.30752026838132274,1.2468849182113217,1.1499126847820174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.824193291863935,38.31578493270335,44.983545379104655
2010-02-02,-2.010053329174988,-1.4204970688377228,-2.0938186475706,1.1862695831480918,-0.34579641236223146,0.4975124378109541,0.710702341137126,-0.519979561512085,-0.7578899985865584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.50423733147079,32.796744653202424,40.42873403480221
2010-02-03,2.4969499654981853,2.106581601680957,1.9331165744438161,-0.5369607901294149,-0.30362177401864754,-0.09119332985930706,0.0,1.870703669317697,1.9091996489976948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.251036435336175,41.060977452434976,47.40934956460916
2010-02-04,-1.2686925504527324,-1.7539057004410386,-1.862289164832187,-4.408853601189467,0.5220796171416131,0.31294823314642617,0.0,-2.5114818213402113,-4.0382966550527755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.10280078311476,36.33562771910031,44.4857367773014
2010-02-05,-3.698115339714869,-2.6148821603992345,-2.9258256991890885,-0.960097233413848,1.1036572170525893,-0.1949824515793508,-0.5258060052580671,-1.772850225510303,-3.9045618213151556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.525029136623573,30.506326151665732,37.347636939291384
2010-02-08,0.9020904866376078,0.8847869806840825,1.446510750767649,1.2830261002164667,0.1498287671232834,0.0,-0.1808318264014508,1.2972364287989757,2.167047365000996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.395071490068247,35.827352584694594,39.79167246444318
