Datetime,Open,High,Low,Close,Volume,RSI_14
2024-06-04 09:45:00+00:00,1074.699951171875,1104.550048828125,1067.4000244140625,1084.0,2379274,31.38944861189279
2024-06-05 03:45:00+00:00,1083.25,1083.25,1051.5999755859375,1063.800048828125,0,26.332352098439927
2024-06-05 04:45:00+00:00,1063.699951171875,1088.1500244140625,1054.9000244140625,1088.1500244140625,4048860,39.07466765461333
2024-06-05 05:45:00+00:00,1088.199951171875,1090.550048828125,1074.199951171875,1080.0999755859375,2460727,36.807947919175916
2024-06-05 06:45:00+00:00,1080.050048828125,1098.5999755859375,1080.050048828125,1093.699951171875,3742300,42.840678061417954
2024-06-05 07:45:00+00:00,1094.0,1106.300048828125,1090.6500244140625,1103.199951171875,5798684,46.670586631431874
2024-06-05 08:45:00+00:00,1103.699951171875,1123.199951171875,1100.199951171875,1109.300048828125,11881662,49.032128766248896
2024-06-05 09:45:00+00:00,1109.3499755859375,1110.050048828125,1100.050048828125,1102.199951171875,2896044,46.453664657161795
2024-06-06 03:45:00+00:00,1108.6500244140625,1114.300048828125,1102.8499755859375,1107.1500244140625,0,48.48754129244735
2024-06-06 04:45:00+00:00,1107.0999755859375,1117.8499755859375,1106.050048828125,1116.75,2218686,52.27367571158979
2024-06-06 05:45:00+00:00,1116.699951171875,1117.0,1104.449951171875,1104.9000244140625,1822310,47.62088788908012
2024-06-06 06:45:00+00:00,1104.699951171875,1107.949951171875,1096.9000244140625,1100.949951171875,1676115,46.146402626999034
2024-06-06 07:45:00+00:00,1100.800048828125,1111.8499755859375,1100.1500244140625,1104.0,1923877,47.498175328484066
2024-06-06 08:45:00+00:00,1104.0,1111.949951171875,1098.949951171875,1111.949951171875,4917014,50.95387510596089
2024-06-06 09:45:00+00:00,1111.949951171875,1113.550048828125,1107.6500244140625,1110.4000244140625,1976609,50.25931541615944
2024-06-07 03:45:00+00:00,1106.0999755859375,1117.5,1103.9000244140625,1115.3499755859375,0,52.486831123502505
2024-06-07 04:45:00+00:00,1115.3499755859375,1122.199951171875,1110.3499755859375,1121.0999755859375,1683797,55.00741731949574
2024-06-07 05:45:00+00:00,1121.0999755859375,1128.300048828125,1119.199951171875,1126.4000244140625,2724739,57.258217278551726
2024-06-07 06:45:00+00:00,1126.5,1127.199951171875,1121.3499755859375,1123.949951171875,1082350,55.86687421199215
2024-06-07 07:45:00+00:00,1124.0,1126.5,1119.0,1124.449951171875,1534036,56.10130982643891
2024-06-07 08:45:00+00:00,1124.5,1126.199951171875,1119.699951171875,1120.0,5918279,53.3833999288649
2024-06-07 09:45:00+00:00,1119.949951171875,1123.199951171875,1119.1500244140625,1121.699951171875,1765874,54.29435669327097
2024-06-10 03:45:00+00:00,1117.050048828125,1132.0,1117.050048828125,1124.199951171875,0,55.66643246282312
2024-06-10 04:45:00+00:00,1124.0999755859375,1126.4000244140625,1121.0,1123.050048828125,1318700,54.850795621282195
2024-06-10 05:45:00+00:00,1123.050048828125,1127.300048828125,1122.699951171875,1124.3499755859375,860257,55.64205249396052
2024-06-10 06:45:00+00:00,1124.300048828125,1127.800048828125,1122.4000244140625,1126.3499755859375,750349,56.89376133132845
2024-06-10 07:45:00+00:00,1126.300048828125,1131.550048828125,1125.5999755859375,1131.300048828125,1154019,59.90915099526591
2024-06-10 08:45:00+00:00,1131.25,1133.1500244140625,1123.449951171875,1124.050048828125,2943415,53.95591079538958
2024-06-10 09:45:00+00:00,1124.0,1124.949951171875,1118.5,1119.800048828125,954657,50.77090137369045
2024-06-11 03:45:00+00:00,1114.0,1127.25,1111.8499755859375,1126.5999755859375,0,55.3158139431953
2024-06-11 04:45:00+00:00,1126.699951171875,1129.050048828125,1124.699951171875,1126.550048828125,1106680,55.27546335649897
2024-06-11 05:45:00+00:00,1126.550048828125,1126.9000244140625,1122.0,1124.6500244140625,939232,53.670924914528904
2024-06-11 06:45:00+00:00,1124.6500244140625,1125.199951171875,1122.0,1122.6500244140625,1225205,51.96110027580194
2024-06-11 07:45:00+00:00,1122.6500244140625,1126.0,1117.800048828125,1118.300048828125,2120007,48.353009089727315
2024-06-11 08:45:00+00:00,1118.4000244140625,1123.0,1116.5,1119.449951171875,3521867,49.354165021154856
2024-06-11 09:45:00+00:00,1119.4000244140625,1119.5,1113.6500244140625,1116.3499755859375,1284360,46.72459783838553
2024-06-12 03:45:00+00:00,1119.6500244140625,1133.300048828125,1112.449951171875,1131.5,0,58.39206038043454
2024-06-12 04:45:00+00:00,1131.800048828125,1132.4000244140625,1125.5,1126.0,1277429,53.78674886008145
2024-06-12 05:45:00+00:00,1126.0,1127.0,1121.0,1122.8499755859375,1380478,51.291649786046186
2024-06-12 06:45:00+00:00,1122.5,1124.6500244140625,1122.050048828125,1123.800048828125,1820194,52.01466737225423
2024-06-12 07:45:00+00:00,1123.800048828125,1125.0,1121.0,1122.1500244140625,1552743,50.60960263304421
2024-06-12 08:45:00+00:00,1121.949951171875,1123.5,1117.3499755859375,1119.9000244140625,4178251,48.678589076276246
2024-06-12 09:45:00+00:00,1120.050048828125,1121.8499755859375,1116.050048828125,1119.550048828125,2221346,48.36944324227149
2024-06-13 03:45:00+00:00,1117.050048828125,1122.8499755859375,1115.0,1118.4000244140625,0,47.30628417611611
2024-06-13 04:45:00+00:00,1118.5,1118.5,1111.3499755859375,1116.199951171875,1781211,45.25688490061916
2024-06-13 05:45:00+00:00,1116.199951171875,1120.0,1114.25,1115.5999755859375,859881,44.688316319209626
2024-06-13 06:45:00+00:00,1115.449951171875,1116.5,1114.0,1116.0,1239948,45.18280077580782
2024-06-13 07:45:00+00:00,1115.8499755859375,1116.300048828125,1111.0999755859375,1111.75,1319186,40.99003001384735
2024-06-13 08:45:00+00:00,1111.699951171875,1111.8499755859375,1105.050048828125,1106.1500244140625,3446052,36.220609542782256
2024-06-13 09:45:00+00:00,1106.0999755859375,1111.199951171875,1106.0999755859375,1110.300048828125,1295820,41.640016184618744
2024-06-14 03:45:00+00:00,1110.6500244140625,1112.949951171875,1099.5,1111.4000244140625,0,43.021977310163514
2024-06-14 04:45:00+00:00,1111.4000244140625,1112.5,1108.199951171875,1110.4000244140625,1186938,42.04716935393384
2024-06-14 05:45:00+00:00,1110.4000244140625,1110.550048828125,1104.050048828125,1105.0,926694,37.15176513765566
2024-06-14 06:45:00+00:00,1105.0,1106.9000244140625,1103.550048828125,1106.6500244140625,1163396,39.470742299995
2024-06-14 07:45:00+00:00,1106.6500244140625,1109.699951171875,1106.0,1106.050048828125,1062702,38.90856093323039
2024-06-14 08:45:00+00:00,1106.0,1107.699951171875,1105.0,1105.5999755859375,2530599,38.465960300023774
2024-06-14 09:45:00+00:00,1105.699951171875,1106.75,1103.9000244140625,1105.050048828125,1352878,37.89868053347045
2024-06-18 03:45:00+00:00,1110.3499755859375,1110.3499755859375,1101.199951171875,1109.0,0,44.25752918649192
2024-06-18 04:45:00+00:00,1109.0,1111.9000244140625,1105.8499755859375,1111.1500244140625,1684416,47.41387910633634
2024-06-18 05:45:00+00:00,1111.5,1115.5,1110.9000244140625,1114.199951171875,1964876,51.600560951157846
2024-06-18 06:45:00+00:00,1114.050048828125,1115.4000244140625,1113.0,1115.050048828125,1334209,52.73021774218905
2024-06-18 07:45:00+00:00,1115.050048828125,1119.0,1114.300048828125,1117.75,1205966,56.22488074191233
2024-06-18 08:45:00+00:00,1117.800048828125,1121.1500244140625,1117.1500244140625,1120.800048828125,4319677,59.83716277077724
2024-06-18 09:45:00+00:00,1121.1500244140625,1135.0,1120.199951171875,1122.8499755859375,5007947,62.100769323794005
2024-06-19 03:45:00+00:00,1128.699951171875,1149.449951171875,1126.199951171875,1145.199951171875,0,77.19330694487361
2024-06-19 04:45:00+00:00,1145.550048828125,1148.0999755859375,1134.3499755859375,1144.6500244140625,3192158,76.38725090716673
2024-06-19 05:45:00+00:00,1144.6500244140625,1146.0,1140.25,1144.4000244140625,1502986,75.99873234069804
2024-06-19 06:45:00+00:00,1145.5,1147.5,1139.1500244140625,1142.5,1552735,72.96142955907352
2024-06-19 07:45:00+00:00,1142.550048828125,1152.5,1139.449951171875,1151.0999755859375,3950357,77.36992548587162
2024-06-19 08:45:00+00:00,1151.4000244140625,1165.3499755859375,1138.5,1144.0,11745516,67.57429170518401
2024-06-19 09:45:00+00:00,1144.199951171875,1145.4000244140625,1142.050048828125,1144.449951171875,3121191,67.85207525274194
2024-06-20 03:45:00+00:00,1151.699951171875,1151.699951171875,1136.3499755859375,1136.5999755859375,0,58.445048594099156
2024-06-20 04:45:00+00:00,1136.75,1144.8499755859375,1135.5,1142.6500244140625,1407441,62.73334600570904
2024-06-20 05:45:00+00:00,1142.449951171875,1147.949951171875,1142.0,1147.0,1134962,65.49080798669297
2024-06-20 06:45:00+00:00,1146.9000244140625,1150.550048828125,1144.199951171875,1149.5999755859375,1228851,67.05966815153849
