MONTH,FII (INR Crore),,,DII (INR Crore),,,NIFTY
,Buy Amount,Sell Amount,Net Amount,Buy Amount,Sell Amount,Net Amount,
"19 May, 2025",11817.04,12342.99,-525.95,10988.35,11226.28,-237.93,24945.45-74.35 (-0.3%)
"16 May, 2025",21379.92,12548.87,8831.05,16971.9,11784.81,5187.09,25019.8-42.3 (-0.17%)
"15 May, 2025",21412,16019.06,5392.94,14749.54,16418.01,-1668.47,25062.1395.2 (1.6%)
"14 May, 2025",14861.07,13929.27,931.8,13602.99,13286.68,316.31,24666.988.55 (0.36%)
"13 May, 2025",17231.19,17708.05,-476.86,16551.85,12278.05,4273.8,24578.35-346.35 (-1.39%)
"12 May, 2025",12775.35,11528.87,1246.48,14684.1,13235.73,1448.37,24924.7916.7 (3.82%)
"09 May, 2025",11482.61,15281.32,-3798.71,15547.15,8269.41,7277.74,24008-265.8 (-1.1%)
"08 May, 2025",22365.53,20357.57,2007.96,12682.67,13278.92,-596.25,24273.8-140.6 (-0.58%)
"07 May, 2025",16371.71,13785.85,2585.86,13168.99,10790.5,2378.49,24414.434.8 (0.14%)
"06 May, 2025",13471.35,9676.83,3794.52,10963.04,12360.72,-1397.68,24379.6-81.55 (-0.33%)
"05 May, 2025",9365.89,8868.1,497.79,13917.99,11129.33,2788.66,24461.15114.45 (0.47%)
"02 May, 2025",18130.19,15360.38,2769.81,13906.16,10615.67,3290.49,24346.712.5 (0.05%)
,,,,,,,
"30 Apr, 2025",25189.92,25139.35,50.57,14429.69,12637.54,1792.15,24334.2-1.75 (-0.01%)
"29 Apr, 2025",15674.49,13288.88,2385.61,13356.43,11987.24,1369.19,24335.957.45 (0.03%)
"28 Apr, 2025",11680.49,9206.39,2474.1,14436.32,11618.68,2817.64,24328.5289.15 (1.2%)
"25 Apr, 2025",15524.03,12571.7,2952.33,16170.72,12630.87,3539.85,24039.35-207.35 (-0.86%)
"24 Apr, 2025",24089.48,15838.95,8250.53,13452.15,13986.69,-534.54,24246.7-82.25 (-0.34%)
"23 Apr, 2025",17507.28,14174.35,3332.93,15150.83,16385.29,-1234.46,24328.95161.7 (0.67%)
"22 Apr, 2025",16702.52,15412.09,1290.43,15154.16,16039.79,-885.63,24167.2541.7 (0.17%)
"21 Apr, 2025",11711.72,9741.55,1970.17,15619.61,15373.02,246.59,24125.55273.9 (1.15%)
"17 Apr, 2025",18210.41,13542.47,4667.94,13773.79,15779.94,-2006.15,23851.65414.45 (1.77%)
"16 Apr, 2025",15286.9,11350.48,3936.42,11065.94,13578.71,-2512.77,23437.2108.65 (0.47%)
"15 Apr, 2025",25103.46,19037.68,6065.78,11259.51,13211.11,-1951.6,23328.55500 (2.19%)
"11 Apr, 2025",18058.9,20577.93,-2519.03,14129.38,10370.11,3759.27,22828.55429.4 (1.92%)
"09 Apr, 2025",11959.16,16317.18,-4358.02,13990.17,11013.51,2976.66,22399.15-136.7 (-0.61%)
"08 Apr, 2025",13687.62,18681.86,-4994.24,14363.74,11266.5,3097.24,22535.85374.25 (1.69%)
"07 Apr, 2025",13372.27,22412.28,-9040.01,26528.23,14405.78,12122.45,22161.6-742.85 (-3.24%)
"04 Apr, 2025",13946.58,17430.56,-3483.98,14454.32,16174.64,-1720.32,22904.45-345.65 (-1.49%)
"03 Apr, 2025",9681.91,12487.91,-2806,11567.21,11345.74,221.47,23250.1-82.25 (-0.35%)
"02 Apr, 2025",12099.11,13637.99,-1538.88,11761.9,8953.07,2808.83,23332.35166.65 (0.72%)
"01 Apr, 2025",10480.2,16381.83,-5901.63,12699.83,8377.25,4322.58,23165.7-353.65 (-1.5%)
,,,,,,,
"28 Mar, 2025",11508.47,15861.29,-4352.82,16920.46,9273.97,7646.49,23519.35-72.6 (-0.31%)
"27 Mar, 2025",31783.75,20672.5,11111.25,39853.05,37335.35,2517.7,23591.95105.1 (0.45%)
"26 Mar, 2025",14316.32,12075.77,2240.55,12416.37,13112.74,-696.37,23486.85-181.8 (-0.77%)
"25 Mar, 2025",19066.28,13694.71,5371.57,11692.98,14461.85,-2768.87,23668.6510.3 (0.04%)
"24 Mar, 2025",15777.73,12721.97,3055.76,12879.29,12780.75,98.54,23658.35307.95 (1.32%)
"21 Mar, 2025",49892.65,42422.29,7470.36,18878.93,22081.19,-3202.26,23350.4159.75 (0.69%)
"20 Mar, 2025",16328.06,13088.92,3239.14,11784.06,14920.08,-3136.02,23190.65283.05 (1.24%)
"19 Mar, 2025",15718.73,16815.23,-1096.5,13300.08,11159.32,2140.76,22907.673.3 (0.32%)
"18 Mar, 2025",15709.88,15015.31,694.57,12333.09,9798.34,2534.75,22834.3325.55 (1.45%)
"17 Mar, 2025",11262.99,15751.44,-4488.45,12726.1,6725.5,6000.6,22508.75111.55 (0.5%)
"13 Mar, 2025",11601.09,12393.99,-792.9,10032.41,8308.59,1723.82,22397.2-73.3 (-0.33%)
"12 Mar, 2025",13088.94,14716.55,-1627.61,11803.42,10293.07,1510.35,22470.5-27.4 (-0.12%)
"11 Mar, 2025",8214.28,11038.04,-2823.76,10895.62,8893.83,2001.79,22497.937.6 (0.17%)
"10 Mar, 2025",9924.83,10410.24,-485.41,9591.29,9327.78,263.51,22460.3-92.2 (-0.41%)
"07 Mar, 2025",8635.45,10670.55,-2035.1,10452.93,8132.57,2320.36,22552.57.8 (0.03%)
"06 Mar, 2025",9711.41,12088.73,-2377.32,13276.13,11658.33,1617.8,22544.7207.4 (0.93%)
"05 Mar, 2025",12045.86,14940.9,-2895.04,15068.48,11697.88,3370.6,22337.3254.65 (1.15%)
"04 Mar, 2025",12022.6,15428.42,-3405.82,13542.14,8690.71,4851.43,22082.65-36.65 (-0.17%)
"03 Mar, 2025",9846.33,14634.62,-4788.29,17344.39,8553.69,8790.7,22119.3-5.4 (-0.02%)
,,,,,,,
"28 Feb, 2025",39239.44,50878.46,-11639.02,28065.55,15756.92,12308.63,22124.7-420.35 (-1.86%)
"27 Feb, 2025",19055.23,19611.79,-556.56,13530.17,11803.06,1727.11,22545.05-2.5 (-0.01%)
"25 Feb, 2025",12500.37,16029.47,-3529.1,11278.09,8247.31,3030.78,22547.55-5.8 (-0.03%)
"24 Feb, 2025",7905.53,14192.23,-6286.7,12552.14,7366.49,5185.65,22553.35-242.55 (-1.06%)
"21 Feb, 2025",10144.33,13593.48,-3449.15,12889.44,10004.83,2884.61,22795.9-117.25 (-0.51%)
"20 Feb, 2025",11131.94,14443.49,-3311.55,13180.35,9272.71,3907.64,22913.15-19.75 (-0.09%)
"19 Feb, 2025",11570.57,13451.87,-1881.3,11192.98,9235.24,1957.74,22932.9-12.4 (-0.05%)
"18 Feb, 2025",14537.68,9751.12,4786.56,12792.87,9720.68,3072.19,22945.3-14.2 (-0.06%)
"17 Feb, 2025",6826.98,10764.81,-3937.83,12504.11,7744.34,4759.77,22959.530.25 (0.13%)
"14 Feb, 2025",9064.18,13358.87,-4294.69,12826.66,8462.79,4363.87,22929.25-102.15 (-0.44%)
"13 Feb, 2025",12124,14913.91,-2789.91,13148.49,10213.99,2934.5,23031.4-13.85 (-0.06%)
"12 Feb, 2025",12389.1,17358.4,-4969.3,15357.41,9428.17,5929.24,23045.25-26.55 (-0.12%)
"11 Feb, 2025",11495.99,15982.4,-4486.41,13787.72,9785.83,4001.89,23071.8-309.8 (-1.32%)
"10 Feb, 2025",9607.92,12071.64,-2463.72,9802.45,8286.93,1515.52,23381.6-178.35 (-0.76%)
"07 Feb, 2025",12482.21,12952.6,-470.39,12185.62,11731.42,454.2,23559.95-43.4 (-0.18%)
"06 Feb, 2025",13469.82,17019.77,-3549.95,11546.06,8824.4,2721.66,23603.35-92.95 (-0.39%)
"05 Feb, 2025",14112.34,15795.17,-1682.83,12860.76,11864.48,996.28,23696.3-42.95 (-0.18%)
"04 Feb, 2025",18105.75,17296.52,809.23,15002.64,15433.34,-430.7,23739.25378.2 (1.62%)
"03 Feb, 2025",12505.92,16464.29,-3958.37,19319.48,16611.25,2708.23,23361.05-121.1 (-0.52%)
"01 Feb, 2025",987.59,2314.68,-1327.09,13364.01,12539.63,824.38,23482.15-26.25 (-0.11%)
,,,,,,,
"31 Jan, 2025",14000.07,15189.06,-1188.99,13549.67,11317.45,2232.22,23508.4258.9 (1.11%)
"30 Jan, 2025",10513.63,15096.58,-4582.95,13934.35,11768.46,2165.89,23249.586.4 (0.37%)
"29 Jan, 2025",7644.4,10230.83,-2586.43,12871.38,11078.67,1792.71,23163.1205.85 (0.9%)
"28 Jan, 2025",11165.86,16086.55,-4920.69,19735.28,12920.95,6814.33,22957.25128.1 (0.56%)
"27 Jan, 2025",9488.57,14504.03,-5015.46,16503.43,9861.28,6642.15,22829.15-263.05 (-1.14%)
"24 Jan, 2025",11230.47,13988.96,-2758.49,12835.41,10433.1,2402.31,23092.2-113.15 (-0.49%)
"23 Jan, 2025",13316.55,18779.07,-5462.52,14412.73,10700.18,3712.55,23205.3550 (0.22%)
"22 Jan, 2025",12936.64,16962.89,-4026.25,15437.18,11796.96,3640.22,23155.35130.7 (0.57%)
"21 Jan, 2025",9983.18,15903.46,-5920.28,14355.52,10855.2,3500.32,23024.65-320.1 (-1.37%)
"20 Jan, 2025",9473.16,13809.7,-4336.54,15339.21,11017.25,4321.96,23344.75141.55 (0.61%)
"17 Jan, 2025",10486.45,13804.51,-3318.06,12496.54,9923.66,2572.88,23203.2-108.6 (-0.47%)
"16 Jan, 2025",11077.77,15419.72,-4341.95,14830.61,11901.89,2928.72,23311.898.6 (0.42%)
"15 Jan, 2025",11035.43,15568.92,-4533.49,14429.64,10747.1,3682.54,23213.237.15 (0.16%)
"14 Jan, 2025",13794.14,21926.4,-8132.26,17836.5,9935.44,7901.06,23176.0590.1 (0.39%)
"13 Jan, 2025",10978.18,15871.02,-4892.84,20133.51,12067.44,8066.07,23085.95-345.55 (-1.47%)
"10 Jan, 2025",10097.02,12351.7,-2254.68,14293.73,10331.81,3961.92,23431.5-95 (-0.4%)
"09 Jan, 2025",8537.05,15707.92,-7170.87,16727.63,9088,7639.63,23526.5-162.45 (-0.69%)
"08 Jan, 2025",9944.21,13306.39,-3362.18,14251.5,11535.22,2716.28,23688.95-18.95 (-0.08%)
"07 Jan, 2025",11726.68,13218.14,-1491.46,12256.43,10641.15,1615.28,23707.991.85 (0.39%)
"06 Jan, 2025",9817.48,12392.54,-2575.06,16412.95,10663.3,5749.65,23616.05-388.7 (-1.62%)
"03 Jan, 2025",10812.78,15040.03,-4227.25,14332.69,13512.09,820.6,24004.75-183.9 (-0.76%)
"02 Jan, 2025",13402.85,11896.1,1506.75,14176.58,14154.44,22.14,24188.65445.75 (1.88%)
"01 Jan, 2025",1237.02,3019.73,-1782.71,8536.97,6846.6,1690.37,23742.998.1 (0.41%)
,,,,,,,
"1 Dec, 2024",5950.15,10595.37,-4645.22,13550.29,9003.56,4546.73,23644.8-0.1 (0%)
"30 Dec, 2024",15507.56,17400.72,-1893.16,41786.62,39612.76,2173.86,23644.9-168.5 (-0.71%)
"27 Dec, 2024",5368.36,6691.65,-1323.29,9436.86,6892.22,2544.64,23813.463.2 (0.27%)
"26 Dec, 2024",4256.31,6632.98,-2376.67,11592.43,8256.27,3336.16,23750.222.55 (0.1%)
"24 Dec, 2024",4932.76,7386.97,-2454.21,10514.3,7695.05,2819.25,23727.65-25.8 (-0.11%)
"23 Dec, 2024",8705.49,8874.2,-168.71,11083.76,8856.08,2227.68,23753.45165.95 (0.7%)
"20 Dec, 2024",30297.83,33895.65,-3597.82,20119.41,18745.04,1374.37,23587.5-364.2 (-1.52%)
"19 Dec, 2024",12685.41,16910.33,-4224.92,14699.53,10756.29,3943.24,23951.7-247.15 (-1.02%)
"18 Dec, 2024",13345.2,14662.01,-1316.81,14068.09,9984.01,4084.08,24198.85-137.15 (-0.56%)
"17 Dec, 2024",15558.53,21968.39,-6409.86,11996.54,9290.06,2706.48,24336-332.25 (-1.35%)
"16 Dec, 2024",11678.24,11956.94,-278.7,8636.76,8871.01,-234.25,24668.25-100.05 (-0.4%)
"13 Dec, 2024",15968.39,13633.07,2335.32,9616.97,10349.17,-732.2,24768.3219.6 (0.89%)
"12 Dec, 2024",14503.85,18063.86,-3560.01,13418.45,10771.8,2646.65,24548.7-93.1 (-0.38%)
"11 Dec, 2024",11528.68,12540.92,-1012.24,11396.21,9388.36,2007.85,24641.831.75 (0.13%)
"10 Dec, 2024",19936.98,18651.02,1285.96,11264.73,10658.94,605.79,24610.05-8.95 (-0.04%)
"09 Dec, 2024",16650.44,15926.17,724.27,10429.71,12077.78,-1648.07,24619-58.8 (-0.24%)
"06 Dec, 2024",12013.83,13844.14,-1830.31,11651.37,9992.31,1659.06,24677.8-30.6 (-0.12%)
"05 Dec, 2024",24716.78,16176.87,8539.91,13395.84,15699.48,-2303.64,24708.4240.95 (0.98%)
"04 Dec, 2024",19968.95,18171.35,1797.6,14082.28,14982.9,-900.62,24467.4510.3 (0.04%)
"03 Dec, 2024",22450,18785.33,3664.67,14553.16,14804.15,-250.99,24457.15181.1 (0.75%)
"02 Dec, 2024",13605.12,13843.4,-238.28,12456.43,8867.77,3588.66,24276.05144.95 (0.6%)
,,,,,,,
"29 Nov, 2024",14786.35,19169.9,-4383.55,15201.68,9478.34,5723.34,24131.1216.95 (0.91%)
"28 Nov, 2024",10796.17,22552.42,-11756.25,17685.35,8967.05,8718.3,23914.15-360.75 (-1.49%)
"27 Nov, 2024",13027.06,13019.28,7.78,10230.12,8928.15,1301.97,24274.980.4 (0.33%)
"26 Nov, 2024",10971.18,9813.48,1157.7,8406.15,10317.01,-1910.86,24194.5-27.4 (-0.11%)
"25 Nov, 2024",85251.94,75304.39,9947.55,17624.75,24532.72,-6907.97,24221.9314.65 (1.32%)
"22 Nov, 2024",16985.36,18263.73,-1278.37,12251.72,10529.57,1722.15,23907.25557.35 (2.39%)
"21 Nov, 2024",16559.63,21880.31,-5320.68,14555.77,10355.61,4200.16,23349.9-168.6 (-0.72%)
"19 Nov, 2024",15255.09,18666.82,-3411.73,13657.81,10873.92,2783.89,23518.564.7 (0.28%)
"18 Nov, 2024",14256.29,15659.69,-1403.4,11521.42,9190.86,2330.56,23453.8-78.9 (-0.34%)
"14 Nov, 2024",13003.06,14852.93,-1849.87,10200.35,7718.54,2481.81,23532.7-26.35 (-0.11%)
"13 Nov, 2024",15178.17,17680.75,-2502.58,14095.16,7949.92,6145.24,23559.05-324.4 (-1.36%)
"12 Nov, 2024",12542.73,15567.04,-3024.31,10330.28,8475.82,1854.46,23883.45-257.85 (-1.07%)
"11 Nov, 2024",9430.85,11737.73,-2306.88,9848.87,7822.24,2026.63,24141.3-6.9 (-0.03%)
"08 Nov, 2024",9336.94,12740.98,-3404.04,11246.96,9498.52,1748.44,24148.2-51.15 (-0.21%)
"07 Nov, 2024",11736.07,16624.84,-4888.77,11374.43,9587.73,1786.7,24199.35-284.7 (-1.16%)
"06 Nov, 2024",11911.9,16357.49,-4445.59,16061.64,11172.31,4889.33,24484.05270.75 (1.12%)
"05 Nov, 2024",11851.47,14420.88,-2569.41,12616.72,9585.76,3030.96,24213.3217.95 (0.91%)
"04 Nov, 2024",13786.39,18116.18,-4329.79,12449.82,9513.74,2936.08,23995.35-309 (-1.27%)
,,,,,,,
"31 Oct, 2024",16633.49,22446.79,-5813.3,13000.2,9485.61,3514.59,24205.35-135.5 (-0.56%)
"30 Oct, 2024",14908.59,19522.24,-4613.65,13594.06,9075.78,4518.28,24340.85-126 (-0.51%)
"29 Oct, 2024",15508.5,16057.19,-548.69,12823.77,12093.64,730.13,24466.85127.7 (0.52%)
"28 Oct, 2024",13393.3,16621.38,-3228.08,12258.32,10857.47,1400.85,24339.15158.35 (0.65%)
"25 Oct, 2024",14209.84,17246.59,-3036.75,15203.44,11044.15,4159.29,24180.8-218.6 (-0.9%)
"24 Oct, 2024",12537.42,17599.87,-5062.45,13827.85,10207.38,3620.47,24399.4-36.1 (-0.15%)
"23 Oct, 2024",14752.71,20437.34,-5684.63,16433.67,10393.77,6039.9,24435.5-36.6 (-0.15%)
"22 Oct, 2024",15579.8,19558.41,-3978.61,16865.8,10996.74,5869.06,24472.1-309 (-1.25%)
"21 Oct, 2024",11982.7,14244.53,-2261.83,13741.13,10515.22,3225.91,24781.1-72.95 (-0.29%)
"18 Oct, 2024",12348.95,17834.65,-5485.7,13850.16,8635.33,5214.83,24854.05104.2 (0.42%)
"17 Oct, 2024",9721.1,17142.5,-7421.4,16817.01,11837.18,4979.83,24749.85-221.45 (-0.89%)
"16 Oct, 2024",14465.64,17901.58,-3435.94,13432.45,11176.16,2256.29,24971.3-86.05 (-0.34%)
"15 Oct, 2024",16097.89,17846.6,-1748.71,13229.43,11574.47,1654.96,25057.35-70.6 (-0.28%)
"14 Oct, 2024",9364.16,13095.75,-3731.59,11597.52,9319.43,2278.09,25127.95163.7 (0.66%)
"11 Oct, 2024",6219.76,10382.42,-4162.66,11906.51,8175.64,3730.87,24964.25-34.2 (-0.14%)
"10 Oct, 2024",16514.3,21440.91,-4926.61,13301.19,9422.86,3878.33,24998.4516.5 (0.07%)
"09 Oct, 2024",11726.26,16288.97,-4562.71,14841.81,11333.2,3508.61,24981.95-31.2 (-0.12%)
"08 Oct, 2024",14774.19,20503.79,-5729.6,19494.71,12494.03,7000.68,25013.15217.4 (0.88%)
"07 Oct, 2024",14057.25,22350.66,-8293.41,23924.07,10678.95,13245.12,24795.75-218.85 (-0.87%)
"04 Oct, 2024",14524.79,24421.74,-9896.95,20286.53,11381.45,8905.08,25014.6-235.5 (-0.93%)
"03 Oct, 2024",17311.91,32555.18,-15243.27,25294.47,12380.51,12913.96,25250.1-546.8 (-2.12%)
"01 Oct, 2024",12627.79,18207.14,-5579.35,14435.2,9825.65,4609.55,25796.9-13.95 (-0.05%)
,,,,,,,
"30 Sep, 2024",16620.77,26412.7,-9791.93,17880.53,11234.73,6645.8,25810.85-368.1 (-1.41%)
"27 Sep, 2024",26135.9,27345,-1209.1,50042.69,43156.04,6886.65,26178.95-37.1 (-0.14%)
"26 Sep, 2024",26421.21,25791.25,629.96,15461.3,13056.18,2405.12,26216.05211.9 (0.81%)
"25 Sep, 2024",15086.88,16060.82,-973.94,12899.34,11120.35,1778.99,26004.1563.75 (0.25%)
"24 Sep, 2024",20111.37,22895.51,-2784.14,15939.51,12071.2,3868.31,25940.41.35 (0.01%)
"23 Sep, 2024",12094.89,11690.47,404.42,11666.36,10643.72,1022.64,25939.05148.1 (0.57%)
"20 Sep, 2024",59452.33,45388.28,14064.05,16987.42,21414.5,-4427.08,25790.95375.15 (1.48%)
"19 Sep, 2024",17852.32,20399.85,-2547.53,16234.69,14221.83,2012.86,25415.838.25 (0.15%)
"18 Sep, 2024",11654,10500.31,1153.69,11794.51,11642.2,152.31,25377.55-41 (-0.16%)
"17 Sep, 2024",13095.19,12612.5,482.69,10959.98,10085.83,874.15,25418.5534.8 (0.14%)
"16 Sep, 2024",8617.1,10252.08,-1634.98,10025.07,9270.98,754.09,25383.7527.25 (0.11%)
"13 Sep, 2024",15982.99,13618.17,2364.82,11156.43,8624.25,2532.18,25356.5-32.4 (-0.13%)
"12 Sep, 2024",23301.02,15606.02,7695,13690.6,15491.14,-1800.54,25388.9470.45 (1.89%)
"11 Sep, 2024",15414.6,13659.6,1755,11401.9,11171,230.9,24918.45-122.65 (-0.49%)
"10 Sep, 2024",16771.58,14563.35,2208.23,12153.63,12429,-275.37,25041.1104.7 (0.42%)
"09 Sep, 2024",14679.24,13502.69,1176.55,12172.78,10415.76,1757.02,24936.484.25 (0.34%)
"06 Sep, 2024",16911.35,17532.3,-620.95,15699.2,13577.67,2121.53,24852.15-292.95 (-1.17%)
"05 Sep, 2024",17446.87,18135.56,-688.69,14803.18,11832.44,2970.74,25145.1-53.6 (-0.21%)
"04 Sep, 2024",16585.13,15609.67,975.46,13583.92,13486.57,97.35,25198.7-81.15 (-0.32%)
"03 Sep, 2024",19444.04,18414.79,1029.25,11867.28,9971.07,1896.21,25279.851.15 (0%)
"02 Sep, 2024",13772.63,12037.17,1735.46,12538.52,12182.15,356.37,25278.742.8 (0.17%)
,,,,,,,
"30 Aug, 2024",89967.84,84649.7,5318.14,18357.37,21555.44,-3198.07,25235.983.95 (0.33%)
"29 Aug, 2024",27036.06,23776.5,3259.56,19919.09,17228.24,2690.85,25151.9599.6 (0.4%)
"28 Aug, 2024",13535.83,14883.36,-1347.53,12746.57,12307.22,439.35,25052.3534.6 (0.14%)
"27 Aug, 2024",15002.15,13498.39,1503.76,12159.6,12763.68,-604.08,25017.757.15 (0.03%)
"26 Aug, 2024",12749.26,12265.9,483.36,13045.47,11175.25,1870.22,25010.6187.45 (0.76%)
"23 Aug, 2024",16775.7,14831.22,1944.48,13341.03,10445.01,2896.02,24823.1511.65 (0.05%)
"22 Aug, 2024",18462.95,17091.16,1371.79,12239.7,9267.9,2971.8,24811.541.3 (0.17%)
"21 Aug, 2024",16888.07,17687.81,-799.74,13299.53,10202.08,3097.45,24770.271.35 (0.29%)
"20 Aug, 2024",17714.69,19172.65,-1457.96,13182.77,10930.67,2252.1,24698.85126.2 (0.51%)
"19 Aug, 2024",12084.3,14751.76,-2667.46,11138.17,9335.25,1802.92,24572.6531.5 (0.13%)
"16 Aug, 2024",18494.25,17727.73,766.52,12795.7,10189.52,2606.18,24541.15397.4 (1.65%)
"14 Aug, 2024",14970,17565.27,-2595.27,12269.21,10033,2236.21,24143.754.75 (0.02%)
"13 Aug, 2024",14502.44,16609.61,-2107.17,13005.78,11765.82,1239.96,24139-208 (-0.85%)
"12 Aug, 2024",13846.14,18526.65,-4680.51,13701.95,9224.22,4477.73,24347-20.5 (-0.08%)
"09 Aug, 2024",12454.93,12048.21,406.72,15190.99,11211.4,3979.59,24367.5250.5 (1.04%)
"08 Aug, 2024",15490.67,18117.4,-2626.73,11738.64,11161.34,577.3,24117-180.5 (-0.74%)
"07 Aug, 2024",14094.77,17409.53,-3314.76,16070.87,12269.66,3801.21,24297.5304.95 (1.27%)
"06 Aug, 2024",14389.37,17920.61,-3531.24,14422.78,11065.33,3357.45,23992.55-63.05 (-0.26%)
"05 Aug, 2024",12724.19,22797.94,-10073.75,23766.9,14611.35,9155.55,24055.6-662.1 (-2.68%)
"02 Aug, 2024",14184.9,17494.9,-3310,16579.92,13613.98,2965.94,24717.7-293.2 (-1.17%)
"01 Aug, 2024",17860.22,15770.94,2089.28,13956.4,14293.43,-337.03,25010.959.75 (0.24%)
,,,,,,,
"31 Jul, 2024",20048.84,23511.2,-3462.36,16592.56,13226.05,3366.51,24951.1593.85 (0.38%)
"30 Jul, 2024",14451.86,20050.5,-5598.64,18718.94,13153.84,5565.1,24857.321.2 (0.09%)
"29 Jul, 2024",17371.87,19846.41,-2474.54,18993.38,13327.84,5665.54,24836.11.25 (0.01%)
"26 Jul, 2024",18201.3,15654.92,2546.38,18856.44,16082.13,2774.31,24834.85428.75 (1.76%)
"25 Jul, 2024",14682.92,17288.41,-2605.49,15760.02,13328.33,2431.69,24406.1-7.4 (-0.03%)
"24 Jul, 2024",16121.97,21252.87,-5130.9,17787.34,14650.04,3137.3,24413.5-65.55 (-0.27%)
"23 Jul, 2024",14330.77,17306.08,-2975.31,17799.44,16380.62,1418.82,24479.05-30.2 (-0.12%)
"22 Jul, 2024",16970.11,13526.05,3444.06,13552.91,15205.25,-1652.34,24509.25-21.65 (-0.09%)
"19 Jul, 2024",15892.61,14386.49,1506.12,15051.42,15512.98,-461.56,24530.9-269.95 (-1.09%)
"18 Jul, 2024",25520.62,20036.99,5483.63,15676.29,18580.54,-2904.25,24800.85187.85 (0.76%)
"16 Jul, 2024",14482.47,13211.02,1271.45,14935.86,15465.34,-529.48,2461326.3 (0.11%)
"15 Jul, 2024",14857.07,12172.29,2684.78,15033.05,15364.05,-331,24586.784.55 (0.35%)
"12 Jul, 2024",19113.62,15092.02,4021.6,14490.17,16141.62,-1651.45,24502.15186.2 (0.77%)
"11 Jul, 2024",15359.94,16496.95,-1137.01,15835.3,14158.83,1676.47,24315.95-8.5 (-0.03%)
"10 Jul, 2024",17464.23,16880.27,583.96,15152.85,14070.45,1082.4,24324.45-108.75 (-0.45%)
"09 Jul, 2024",14537.07,14222.61,314.46,13615.06,12198.6,1416.46,24433.2112.65 (0.46%)
"08 Jul, 2024",13564.41,13503.43,60.98,14355.09,11488.3,2866.79,24320.55-3.3 (-0.01%)
"05 Jul, 2024",13354.3,12112.97,1241.33,12695.07,14346.43,-1651.36,24323.8521.7 (0.09%)
"04 Jul, 2024",13837.28,11261.43,2575.85,11303.32,13678.5,-2375.18,24302.1515.65 (0.06%)
"03 Jul, 2024",18023.92,12540.29,5483.63,14121.15,15045.58,-924.43,24286.5162.65 (0.67%)
"02 Jul, 2024",14551.15,16551.27,-2000.12,14203.4,13555.15,648.25,24123.85-18.1 (-0.07%)
"01 Jul, 2024",13206.44,13632.47,-426.03,16210.07,12292.64,3917.43,24141.95131.35 (0.55%)
,,,,,,,
"28 Jun, 2024",20605.78,20628.87,-23.09,20973.4,14315.09,6658.31,24010.6-33.9 (-0.14%)
"27 Jun, 2024",30849.47,23190.7,7658.77,26887.35,30493.28,-3605.93,24044.5175.7 (0.74%)
"26 Jun, 2024",19920.57,23456,-3535.43,18342.37,13238.7,5103.67,23868.8147.5 (0.62%)
"25 Jun, 2024",17331.84,16155.93,1175.91,13519.21,13668.66,-149.45,23721.3183.45 (0.78%)
"24 Jun, 2024",13720.3,14374.27,-653.97,11251.18,12071.65,-820.47,23537.8536.75 (0.16%)
"21 Jun, 2024",44523.47,46313.66,-1790.19,18603.77,17366.56,1237.21,23501.1-65.9 (-0.28%)
"20 Jun, 2024",16277.11,15861.81,415.3,12564.28,12890.09,-325.81,2356751 (0.22%)
"19 Jun, 2024",24852.22,16943.86,7908.36,22548.24,15440.44,7107.8,23516-41.9 (-0.18%)
"18 Jun, 2024",19101.85,16532.45,2569.4,13955.22,12399.49,1555.73,23557.992.3 (0.39%)
"14 Jun, 2024",15691.02,13515.16,2175.86,11876.45,11220.69,655.76,23465.666.7 (0.29%)
"13 Jun, 2024",19191.08,22224.08,-3033,12374.17,12928.05,-553.88,23398.975.95 (0.33%)
"12 Jun, 2024",15273.41,14846.78,426.63,13651.65,13417.9,233.75,23322.9558.1 (0.25%)
"11 Jun, 2024",15527.24,15638.28,-111.04,14162.6,10969.31,3193.29,23264.855.65 (0.02%)
"10 Jun, 2024",13721.97,11149.59,2572.38,16933.99,14169.53,2764.46,23259.2-30.95 (-0.13%)
"07 Jun, 2024",19943.97,15552.95,4391.02,15564.17,16853.92,-1289.75,23290.15468.75 (2.05%)
"06 Jun, 2024",13969.51,20837.23,-6867.72,17030.3,13311.92,3718.38,22821.4201.05 (0.89%)
"05 Jun, 2024",21012.72,26668.98,-5656.26,28615.23,24060.15,4555.08,22620.35735.85 (3.36%)
"04 Jun, 2024",26776.17,39212.39,-12436.22,25963.84,29282.82,-3318.98,21884.5-1379.4 (-5.93%)
"03 Jun, 2024",23451.26,16600.5,6850.76,22651.16,20737.18,1913.98,23263.9733.2 (3.25%)
,,,,,,,
"31 May, 2024",95467.56,93854.32,1613.24,21441.16,19326.99,2114.17,22530.742.05 (0.19%)
"30 May, 2024",18108.69,21158.84,-3050.15,13748.5,10315.58,3432.92,22488.65-216.05 (-0.95%)
"29 May, 2024",14162.04,20003.88,-5841.84,12954.15,7720.36,5233.79,22704.7-183.45 (-0.8%)
"28 May, 2024",14739.43,14673.86,65.57,13169.66,9937.99,3231.67,22888.15-44.3 (-0.19%)
"27 May, 2024",14013.38,14554.6,-541.22,12902.57,11979.97,922.6,22932.45-24.65 (-0.11%)
"24 May, 2024",11564.19,12509.02,-944.83,13475.7,11155.38,2320.32,22957.1-10.55 (-0.05%)
