MONTH,FII (INR Crore),,,DII (INR Crore),,,NIFTY
,Buy Amount,Sell Amount,Net Amount,Buy Amount,Sell Amount,Net Amount,
"10 Feb, 2026",16699.82,16630.37,69.45,15262.9,14088.69,1174.21,25935.1567.85 (0.26%)
"09 Feb, 2026",16066.13,13811.49,2254.64,13572.99,13568.84,4.15,25867.3173.6 (0.68%)
"06 Feb, 2026",16718.66,14767.89,1950.77,13215.74,14480.8,-1265.06,25693.750.9 (0.2%)
"05 Feb, 2026",14630.07,16780.58,-2150.51,15182.18,14052.36,1129.82,25642.8-133.2 (-0.52%)
"04 Feb, 2026",18453.01,18423.22,29.79,18631.78,18382.24,249.54,2577648.45 (0.19%)
"03 Feb, 2026",27677.68,22441.4,5236.28,28206.21,27191.97,1014.24,25727.55639.15 (2.55%)
"02 Feb, 2026",15172.55,17005.01,-1832.46,18626.43,16180.1,2446.33,25088.4262.95 (1.06%)
"01 Feb, 2026",598.29,1186.63,-588.34,14390.79,15073.52,-682.73,24825.45-495.2 (-1.96%)
,,,,,,,
"30 Jan, 2026",30492.98,28241.61,2251.37,18590.13,19191.16,-601.03,25320.65-98.25 (-0.39%)
"29 Jan, 2026",20212.73,20606.7,-393.97,24423.89,21785.13,2638.76,25418.976.15 (0.3%)
"28 Jan, 2026",21044.5,20564.24,480.26,19578.39,16217.8,3360.59,25342.75167.35 (0.66%)
"27 Jan, 2026",29666.67,32735.16,-3068.49,23929.34,14929.63,8999.71,25175.4126.75 (0.51%)
"23 Jan, 2026",13550.25,17663.63,-4113.38,18258.75,14156.19,4102.56,25048.65-241.25 (-0.95%)
"22 Jan, 2026",16873.2,19423,-2549.8,17537.49,13314.51,4222.98,25289.9132.4 (0.53%)
"21 Jan, 2026",15370.98,17158.64,-1787.66,17387.34,12866.87,4520.47,25157.5-75 (-0.3%)
"20 Jan, 2026",14215.11,17153.44,-2938.33,18529.36,14863.67,3665.69,25232.5-353 (-1.38%)
"19 Jan, 2026",12379.75,15642.57,-3262.82,17887.61,13653.31,4234.3,25585.5-108.85 (-0.42%)
"16 Jan, 2026",20159.84,24505.97,-4346.13,19135.42,15200.11,3935.31,25694.3528.75 (0.11%)
"14 Jan, 2026",13121.23,17902.47,-4781.24,19930.32,14713.04,5217.28,25665.6-66.7 (-0.26%)
"13 Jan, 2026",11994.92,13494.73,-1499.81,15445.22,14263.44,1181.78,25732.3-57.95 (-0.22%)
"12 Jan, 2026",9071.61,12710.01,-3638.4,16985.9,11146.58,5839.32,25790.25106.95 (0.42%)
"09 Jan, 2026",11093.29,14862.6,-3769.31,18481.07,12885.23,5595.84,25683.3-193.55 (-0.75%)
"08 Jan, 2026",11090.27,14457.39,-3367.12,18707.23,15006.06,3701.17,25876.85-263.9 (-1.01%)
"07 Jan, 2026",14663.53,16191.24,-1527.71,18364.76,15475.44,2889.32,26140.75-37.95 (-0.14%)
"06 Jan, 2026",15061.18,15168.81,-107.63,17240.41,15491.06,1749.35,26178.7-71.6 (-0.27%)
"05 Jan, 2026",11277.44,11313.69,-36.25,15565.79,13801.72,1764.07,26250.3-78.25 (-0.3%)
"02 Jan, 2026",7850.45,7560.65,289.8,15349.56,14672.18,677.38,26328.55182 (0.7%)
"01 Jan, 2026",1067.64,4336.24,-3268.6,13045.31,11519.42,1525.89,26146.5516.95 (0.06%)
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"31 Dec, 2025",5322.52,8919.9,-3597.38,19462.99,12703.35,6759.64,26129.6190.75 (0.74%)
"30 Dec, 2025",16253.99,20098.01,-3844.02,44583.09,38423.28,6159.81,25938.85-3.25 (-0.01%)
"29 Dec, 2025",6435.17,9195.06,-2759.89,15403.18,12759.33,2643.85,25942.1-100.2 (-0.38%)
"26 Dec, 2025",12832.34,13149.9,-317.56,9980.68,8208.12,1772.56,26042.3-99.8 (-0.38%)
"24 Dec, 2025",5071.31,6792.57,-1721.26,11850.05,9468.71,2381.34,26142.1-35.05 (-0.13%)
"23 Dec, 2025",7035.26,8830.06,-1794.8,11906.43,8094.06,3812.37,26177.154.75 (0.02%)
"22 Dec, 2025",10713.52,11170.86,-457.34,15295.92,11237.7,4058.22,26172.4206 (0.79%)
"19 Dec, 2025",27447.95,25617.06,1830.89,23097.51,17374.62,5722.89,25966.4150.85 (0.58%)
"18 Dec, 2025",11442.37,10846.59,595.78,12375.71,9675.35,2700.36,25815.55-3 (-0.01%)
"17 Dec, 2025",12801.81,11630.1,1171.71,10752.75,9983.81,768.94,25818.55-41.55 (-0.16%)
"16 Dec, 2025",10464.52,12846.44,-2381.92,12488.98,11411.5,1077.48,25860.1-167.2 (-0.64%)
"15 Dec, 2025",8609.68,10078,-1468.32,11749.18,9956.93,1792.25,26027.3-19.65 (-0.08%)
"12 Dec, 2025",10979.8,12094.02,-1114.22,15616.98,11748.04,3868.94,26046.95148.4 (0.57%)
"11 Dec, 2025",7534.15,9555.09,-2020.94,13196.12,9400.05,3796.07,25898.55140.55 (0.55%)
"10 Dec, 2025",11700.44,13351.5,-1651.06,16868.94,13116.63,3752.31,25758-81.65 (-0.32%)
"09 Dec, 2025",13604.94,17365.02,-3760.08,17438.88,11213.99,6224.89,25839.65-120.9 (-0.47%)
"08 Dec, 2025",12500.23,13155.82,-655.59,16883.41,14340.92,2542.49,25960.55-225.9 (-0.86%)
"05 Dec, 2025",11456.36,11895.26,-438.9,16057.87,11868.7,4189.17,26186.45152.7 (0.59%)
"04 Dec, 2025",11500.09,13444.28,-1944.19,16489.46,12828.41,3661.05,26033.7547.75 (0.18%)
"03 Dec, 2025",11134.97,14341.89,-3206.92,17188.06,12457.65,4730.41,25986-46.2 (-0.18%)
"02 Dec, 2025",15234.08,18876.38,-3642.3,15194.77,10548.83,4645.94,26032.2-143.55 (-0.55%)
"01 Dec, 2025",8979.4,10150.71,-1171.31,13024.65,10465.72,2558.93,26175.75-27.2 (-0.1%)
,,,,,,,
"28 Nov, 2025",10174.58,13970.3,-3795.72,14627.36,10478.88,4148.48,26202.95-12.6 (-0.05%)
"27 Nov, 2025",10262.02,11517.22,-1255.2,15558.92,11618.05,3940.87,26215.5510.25 (0.04%)
"26 Nov, 2025",16232.14,11454.11,4778.03,16334.09,10086.16,6247.93,26205.3320.5 (1.24%)
"25 Nov, 2025",16596.24,15810.92,785.32,15153.03,11240.56,3912.47,25884.8-74.7 (-0.29%)
"24 Nov, 2025",54504.95,58676.7,-4171.75,20445.48,15932.61,4512.87,25959.5-108.65 (-0.42%)
"21 Nov, 2025",14585.86,16351.91,-1766.05,14908.67,11747.06,3161.61,26068.15-124 (-0.47%)
"20 Nov, 2025",14769.74,14486.09,283.65,13051.84,12227.38,824.46,26192.15139.5 (0.54%)
"19 Nov, 2025",14774.92,13194.2,1580.72,13904.32,12544.05,1360.27,26052.65142.6 (0.55%)
"18 Nov, 2025",17071.04,17799.86,-728.82,18246.17,12089.34,6156.83,25910.05-103.4 (-0.4%)
