,weight
Nifty_Close,0.494052164226214
US_5Y,-0.369484183215393
US_10Y,0.3282110143664126
BankNifty_Close,0.31336973177485994
WPI_Index,0.27437265039417785
Bond_5Y,-0.1744360160502928
CPI_Index,-0.13833298281588313
NII (₹ Cr),0.11574601201728289
CRR_%,0.11419170993109926
Repo_Rate_%,0.08857669616654087
Bond_10Y,0.06528247259049177
ICICI_RSI_14,0.042055365318447495
Nifty_RSI_14,-0.04180521669416553
Net Profit (₹ Cr),0.041208338617125966
Real_GDP_YoY_Growth_%,-0.036265796756997586
Trade_Balance_Billion_USD,0.00927031095594634
DII_Net,0.0054849648956043036
BankNifty_RSI_14,-0.005318647508647844
FII_Net,-0.004966438298272348
USD_INR,-0.0015022557781744778
Gold_Close,-0.00043121264282205355
