Date,Open,High,Low,Close,Volume,RSI_14
2010-01-21,9093.0,9098.099609375,8889.0498046875,8919.2998046875,0,36.72079164372835
2010-01-22,8891.7998046875,8891.7998046875,8659.900390625,8772.650390625,0,29.486751669021928
2010-01-25,8724.7998046875,8751.2001953125,8669.5498046875,8696.599609375,0,26.5641306242225
2010-01-27,8564.599609375,8602.650390625,8294.599609375,8329.7998046875,0,17.536159502295106
2010-01-28,8396.5,8496.099609375,8354.25,8423.849609375,0,24.6109906055691
2010-01-29,8346.5498046875,8687.0,8306.099609375,8651.5498046875,0,38.391968615826144
2010-02-01,8597.4501953125,8712.25,8495.25,8649.25,0,38.31578493270335
2010-02-02,8666.7001953125,8718.650390625,8453.900390625,8468.150390625,0,32.796744653202424
2010-02-03,8489.7998046875,8662.9501953125,8489.7998046875,8631.849609375,0,41.060977452434976
2010-02-04,8591.7998046875,8623.25,8455.5,8471.099609375,0,36.33562771910031
2010-02-05,8319.150390625,8319.150390625,8150.4501953125,8223.25,0,30.506326151665732
2010-02-08,8279.75,8412.2998046875,8160.9501953125,8342.2001953125,0,35.827352584694594
2010-02-09,8322.0,8420.400390625,8271.5498046875,8392.4501953125,0,37.98750761794932
2010-02-10,8410.5498046875,8444.2001953125,8259.400390625,8290.0,0,35.37312133164612
2010-02-11,8327.7001953125,8451.9501953125,8327.7001953125,8381.400390625,0,39.381373125977106
2010-02-15,8441.599609375,8441.599609375,8282.0498046875,8312.7001953125,0,37.498792020262975
2010-02-16,8324.2998046875,8432.150390625,8289.150390625,8397.7998046875,0,41.24556819352416
2010-02-17,8446.5498046875,8569.25,8446.5498046875,8551.5,0,47.38097889140747
2010-02-18,8574.75,8602.0,8523.349609375,8573.900390625,0,48.229478034357484
2010-02-19,8490.25,8530.25,8407.9501953125,8487.099609375,0,45.188657375488795
2010-02-22,8565.2998046875,8598.25,8473.150390625,8493.349609375,0,45.45532584212399
2010-02-23,8491.400390625,8577.900390625,8453.400390625,8512.9501953125,0,46.33708345154365
2010-02-24,8463.4501953125,8527.349609375,8458.4501953125,8504.5498046875,0,45.99391107961286
2010-02-25,8520.599609375,8554.9501953125,8469.650390625,8537.7998046875,0,47.64665256459332
2010-02-26,8535.4501953125,8851.349609375,8527.0498046875,8722.75,0,55.75723890218906
2010-03-02,8826.900390625,8945.599609375,8826.900390625,8922.099609375,0,62.500612861009984
2010-03-03,8922.150390625,9046.900390625,8922.150390625,9039.4501953125,0,65.80473124992474
2010-03-04,9055.9501953125,9068.9501953125,8965.25,9013.7998046875,0,64.46762323105108
2010-03-05,9012.849609375,9095.2998046875,8967.7998046875,9038.4501953125,0,65.19945279903197
2010-03-08,9102.150390625,9178.5498046875,9093.4501953125,9145.9501953125,0,68.2687710912009
2010-03-09,9118.7001953125,9177.0,9073.5,9138.2001953125,0,67.80447807218412
2010-03-10,9136.25,9156.0,9074.0,9119.25,0,66.61154454689077
2010-03-11,9114.650390625,9219.2001953125,9087.349609375,9186.849609375,0,68.7253522340211
2010-03-12,9201.150390625,9230.0,9145.599609375,9172.900390625,0,67.77187781684349
2010-03-15,9118.2001953125,9146.2001953125,9056.150390625,9085.5,0,61.97057215279793
2010-03-16,9071.0,9121.9501953125,8986.75,9102.9501953125,0,62.65787300566527
2010-03-17,9162.4501953125,9221.0498046875,9142.0,9188.400390625,0,65.9071576112388
2010-03-18,9214.099609375,9287.599609375,9172.0498046875,9252.2998046875,0,68.13973530108501
2010-03-19,9293.7001953125,9294.099609375,9231.900390625,9270.7998046875,0,68.77722677463572
2010-03-22,9171.2001953125,9240.849609375,9066.7001953125,9186.9501953125,0,62.657756363918885
2010-03-23,9192.4501953125,9257.900390625,9166.400390625,9222.900390625,0,64.13132186297588
2010-03-25,9191.400390625,9342.0,9165.5,9318.25,0,67.76464362307365
2010-03-26,9331.650390625,9473.2001953125,9321.5,9456.2001953125,0,72.15870400270917
2010-03-29,9452.099609375,9578.5,9452.099609375,9517.599609375,0,73.8662110851303
2010-03-30,9558.9501953125,9587.650390625,9461.25,9470.2998046875,0,70.28981766632951
2010-03-31,9509.849609375,9537.4501953125,9440.349609375,9459.599609375,0,69.47037952115143
2010-04-01,9464.150390625,9523.400390625,9445.5498046875,9507.75,0,71.1029433227335
2010-04-05,9593.5498046875,9708.900390625,9582.0,9698.599609375,0,76.47312669008849
2010-04-06,9732.599609375,9772.400390625,9674.099609375,9728.2001953125,0,77.18142742870486
2010-04-07,9778.5,9793.2001953125,9639.849609375,9681.0498046875,0,73.39118448130208
2010-04-08,9676.7001953125,9676.7001953125,9492.2998046875,9520.0,0,62.162205969746736
2010-04-09,9538.0,9686.25,9538.0,9656.5,0,66.7988767721106
2010-04-12,9661.2001953125,9667.400390625,9547.599609375,9575.4501953125,0,61.944979589723324
2010-04-13,9565.0498046875,9565.349609375,9453.5498046875,9483.0,0,56.86881027765426
2010-04-15,9501.599609375,9575.25,9330.7998046875,9344.599609375,0,50.232469479731115
2010-04-16,9345.5,9410.150390625,9266.150390625,9353.75,0,50.64257351887643
2010-04-19,9273.849609375,9357.0498046875,9206.0,9302.900390625,0,48.26249964635258
2010-04-20,9314.5498046875,9501.849609375,9314.5498046875,9446.099609375,0,54.716804139301615
2010-04-21,9477.099609375,9574.5498046875,9477.099609375,9555.2998046875,0,58.92493922209565
2010-04-22,9534.0498046875,9739.099609375,9500.150390625,9623.25,0,61.332883158652386
2010-04-23,9653.150390625,9824.9501953125,9653.150390625,9813.2998046875,0,67.13587127321905
2010-04-26,9890.7998046875,9920.4501953125,9824.75,9839.150390625,0,67.84280021371188
2010-04-27,9827.0,9827.0,9744.7001953125,9756.4501953125,0,63.1618973089558
2010-04-28,9630.349609375,9723.349609375,9603.5,9634.900390625,0,56.94319055045921
2010-04-29,9652.599609375,9822.0498046875,9652.599609375,9803.7998046875,0,62.47230258788824
2010-04-30,9809.400390625,9923.150390625,9809.400390625,9870.349609375,0,64.41151918831082
2010-05-03,9809.400390625,9863.4501953125,9741.5,9775.5,0,59.67822251284314
2010-05-04,9816.599609375,9837.7001953125,9607.4501953125,9623.7001953125,0,52.969409810781976
2010-05-05,9461.349609375,9609.4501953125,9454.75,9581.849609375,0,51.25856260498835
2010-05-06,9588.849609375,9627.4501953125,9449.75,9582.0,0,51.26465424242682
