,ICICI_Close_ret,Nifty_Close_ret,BankNifty_Close_ret,Gold_Close_ret,USD_INR_ret,Bond_10Y_ret,Bond_5Y_ret,US_10Y_ret,US_5Y_ret,FII_Net_chg,DII_Net_chg,CPI_Index_chg,WPI_Index_chg,Trade_Balance_Billion_USD_chg,Repo_Rate_%_chg,CRR_%_chg,Real_GDP_YoY_Growth_%_chg,Net Profit (₹ Cr)_chg,NII (₹ Cr)_chg
2010-01-21,0.0,0.0,0.0,0.0,0.0,-0.008161161527335163,-0.012294091700420057,-0.013205104945596608,-0.024671966601506366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-22,-0.014172823610384215,-0.011480687178891941,-0.01657844590523989,0.0,0.002383274879572226,0.00013216150154702328,0.005327364344949493,-0.0036066098865896764,-0.00935782024025708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-25,-0.011845587798911022,-0.005595470135225262,-0.008706973225631884,0.005493513420230047,-0.0032513304896358134,0.0021122120064138977,0.0016764463272523522,0.008854530491888469,0.008934391264947642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-26,0.0,0.0,0.0,0.0024623360872550208,0.0,0.0,0.0,0.0,-0.003394205823064024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-27,-0.05377992444815876,-0.030048156997175442,-0.04159448508145739,-0.012372425339340949,0.0051970666996490784,-0.005156354387642147,-0.003495773678141784,0.00384931425033643,0.012669076763395973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-28,0.0009521797211870352,0.002911399732814308,0.01122751284963344,-0.0007380524579723018,0.0010793309196758319,0.000662558826331515,0.0,0.003834553829481088,0.010851535483727085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-29,0.05228565468942584,0.003036077739411096,0.026671517512868472,-0.0005538406794374274,-0.0058422756242284025,0.0055482308771433895,0.002098930316502559,-0.013485831206811606,-0.025647767292429416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-01,0.006542070288776579,0.0036088449983292152,-0.0002658641761314784,0.01947672626845235,0.004114786531272595,0.006172453768693205,0.003070483919668974,0.012391753285378507,0.01143351440019925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-02,-0.020305317422392197,-0.01430682701245135,-0.021160517055471655,0.01179288560459625,-0.003463956700294136,0.004962789342129097,0.007081887544349032,-0.0052133615996725795,-0.007607765788203787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-03,0.024663166053203754,0.020846999413257735,0.019146686979615912,-0.005384076061273663,-0.003040836400477525,-0.0009123493627313387,0.0,0.0185342121125329,0.018912031313652045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-04,-0.01276821667378132,-0.017694688705123994,-0.018798471666038676,-0.03119081356784057,0.00520721506403838,0.0031245956940753484,0.0,-0.025435577188966448,-0.041220997601531584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-05,-0.03768247920267893,-0.026496781268445523,-0.02969481085854619,-0.009647358811312443,0.010976113637796636,-0.0019517278981915802,-0.005271932299109591,-0.017887534557670063,-0.0398283406631695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-08,0.008980376093732681,0.008808956769992533,0.014361534793548908,0.012748650518059184,0.001497166358153259,0.0,-0.0018099552452395303,0.012888943836158536,0.02143900696109318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-09,0.008715971791304934,0.006751796164294356,0.006005474488741123,0.010268948062854865,-0.006432269175631476,0.002991093978506987,0.0018099552452393861,0.01134957232476375,0.019256573585774588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-10,-0.015631203796407395,-0.007424173049006029,-0.012282572282947072,-0.0008361462449986618,-0.0028002172309424538,0.01123389695284021,0.007069126395890523,0.01665115843734587,0.02651996216960912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-11,0.03229365087155006,0.014534800298261869,0.010965053101137545,0.016958841778351375,0.000646900292101409,0.009075284374084652,0.00701950442666824,0.010502327336181927,0.0021084192540803365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-12,0.0,0.0,0.0,-0.004304582620552603,0.0010772380660383186,0.0,0.0,-0.010773053616268314,-0.016992745455850528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-15,-0.010587823591479898,-0.005171975135166793,-0.008230501062412816,0.0,0.0,0.004063497654860176,0.005198370119419765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-16,0.01830547678537567,0.011141443639869172,0.010185255757220181,0.02698465813435139,-0.009737175277858204,-0.0029189690120853193,0.0017722041309293653,-0.007883700863926382,-0.014674479059004958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-17,0.01015937678323141,0.011924704368882228,0.018136943244836504,0.0001786235197834537,0.00021741493726249575,0.0030456876335562028,0.0,0.021064799194390506,0.03754709811963556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-18,-0.0010710784277303254,-0.005356199200524958,0.002616074774898502,-0.0013407823237650395,0.004338401598598141,-0.002918598607522718,-0.0017722041309294015,0.01616996654815506,0.02317984332792264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-19,-0.007767348753465466,-0.008805489760123469,-0.010175436635686643,0.0029473952977853916,0.0008654262764289014,0.0020312308621555,0.0,-0.005537234541352955,0.007744099494206977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-22,-0.0023422663799825424,0.002370817440569972,0.000736149298550026,-0.0077891733148895085,-0.0019482634152609378,-0.004958372627640821,-0.0034169376510456827,0.004484893349106942,-0.006108797194235529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-23,0.01923414993001548,0.0028067612985113975,0.0023051248305268396,-0.008937923213824531,0.00216450300957305,-0.0060083274389997636,0.0,-0.028840460818537337,-0.03958026781887139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-24,-0.007815707673711588,-0.002353813207905825,-0.0009872764724768136,-0.005638384626172894,0.00043233896047410714,0.0,0.0,0.0010831164194544153,0.0029704964548845788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-25,0.012346971933270496,0.00023664559057058937,0.003901979850670985,0.010252821817720683,0.00043215212427078555,0.0030725923545825615,0.0016415872359518593,-0.01444756602573875,-0.00936568624681069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-26,0.02384458667744213,0.012788865005232845,0.02143123814363332,0.009433608021292231,-0.005198192341863332,0.005227270141921885,0.0036837479408542476,-0.012988971176175186,-0.02336763161985883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-01,0.0,0.0,0.0,-0.00044720717901420117,-0.0008689985339386454,0.0,0.0,0.003055110839526157,-0.00043789251409674846,0.0,0.0,0.0,0.638384112732993,1.4183500000000002,0.0,0.10503019784370056,0.0,0.0,0.0
2010-03-02,0.028261418702700408,0.01905628423679781,0.022596787179613703,0.01694277009135818,0.0,0.010121543898006102,0.0033988204835322974,0.0022161048931265536,-0.0043898184962911325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-03,0.012406578013133066,0.014072353623684244,0.013066986893384615,0.005088558812882546,-0.010048140461409892,0.0010065426114014722,0.00013571283185647315,0.003039073442636163,-0.0013207226186445022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-04,-0.011014268921231708,-0.0015440261478846663,-0.0028415636663757598,-0.008877987298245592,0.005910053319382305,-0.0008806693655935249,-0.003534533315388843,-0.0052551783357627415,0.002200271231768617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-05,0.003721830446916044,0.0016619605947973564,0.002730930058733299,0.0019406138387151374,-0.007228155443436756,0.003518033531679029,0.0017688282726011342,0.02085695160120167,0.02945203752486738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-08,0.024104342137196814,0.006912950461775033,0.011823488949313702,-0.009918672460992171,0.00021980437499191554,0.004629927559909414,-0.0035407908435145523,0.007036571214295638,0.005108603719995565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-09,0.0015143726170344688,-0.004400769901265003,-0.0008477386738097183,-0.0014249874190179776,0.002195390563435656,-0.005006268278144194,-0.0053348050742668815,-0.0018895860820382585,-0.007244847227740449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-10,-0.007976383843854299,0.002887134691252988,-0.0020759112456710015,-0.012736696406978158,-0.005497539959194831,0.0010032606810911305,0.0017814324683741182,0.005120629271642592,0.016963918751695558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-11,0.014118754324307158,0.0033464398319566976,0.007385593245812861,0.00018047763156562316,0.0030823450207672315,0.002753788196621087,-0.0035660441026993187,0.0,0.0133669760254754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-12,0.006211377195176488,0.0007010628286984394,-0.0015195613430816757,-0.0058837010648312765,-0.00021985269957755312,0.0018732443816804189,0.0,-0.002691789074430514,0.002900341489416184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-15,-0.013868120292663709,-0.0015780592864252823,-0.009573795531990056,0.0032629192601636168,0.0015379548236320315,-0.0012484396128382227,0.0035660441026993616,-0.0016185711474995849,-0.004977232944793613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-16,0.007280682339721375,0.013402000790980504,0.0019188444158225197,0.01535519430323725,-0.002197803082479316,0.0,0.0,-0.013864536090842684,-0.0239859685751738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-17,0.01921244725568292,0.006481289167163449,0.009343304635771245,0.001602750647837658,-0.0037473867285603988,-0.005009403086666308,-0.005216209493657137,-0.003015809355679782,0.007636815866871057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-18,0.015793670201885584,0.0026723183478340206,0.006930261177326283,0.0030203668490292684,0.0037473867285603727,-0.006676349041600905,-0.005381921498166182,0.00820348375122295,0.02008439794421544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-19,-0.00739505695033434,0.0032163668929633504,0.0019975296921108665,-0.017899170867508113,-0.0030850619444409886,-0.010290378551610326,-0.005411043379531493,0.004076675022287463,0.015210957531987639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-22,-0.02251938816535279,-0.011005003954608747,-0.009085634074702628,-0.00734128943287008,0.004624031139028767,0.0030600559387839285,0.0036106135600347767,-0.0065306161247830116,-0.015210957531987587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-23,-0.010479638209676448,0.003854011649290952,0.0039054833067105627,0.003813288694503739,-0.00043946386117077403,0.0010179413017945224,0.00180042981949665,0.004630257365131607,-0.0008288825465695907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-24,0.0,0.0,0.0,-0.013594502123719505,-0.0022002209096024235,0.0,0.0,0.03969090117750936,0.0634496185806408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-25,0.00898173972087553,0.006694875828928294,0.010285293117805483,0.003759208317871616,0.002200220909602559,0.001524971702317668,0.0017971940967808778,0.01862926489288738,0.034796124081441254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-26,0.014511031933691057,0.004097762953683076,0.014695752020302537,0.010469393738636968,-0.007500586675443571,-0.0024156136595320046,0.0035847274013851,-0.011861924428760677,-0.021653237508182013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-29,0.0053680190332370545,0.003939616419884685,0.006472118735238977,0.005509246408055013,-0.004883472524278147,-0.01203753810545024,-0.012603172153325399,0.0023319256129224445,-0.001922012652003848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-30,0.007529860147529511,-0.007647695404744314,-0.004982167988744279,-0.0052375491774631945,0.0026666682469152977,0.0009014230215692946,0.010812414735590472,0.0010346479048623355,0.0019220126520039368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,-0.0076347933446481355,-0.0025400829491546485,-0.0011305206618174026,0.007935877733399111,-0.0024441740864690814,0.010372075826033207,0.00728075199181545,-0.009089813513148306,-0.017041523365093233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-01,0.00015765982136566712,0.00785610742115299,0.005077257006073733,0.010543277283994743,-0.0035658606984206604,0.0,0.0,0.006760302185408906,0.00816971932955827,0.0,0.0,0.0,0.6395340867257466,-2.0336355048577626,0.0,0.0,0.0,0.0,0.0
2010-04-02,0.0,0.0,0.0,0.0,-0.0011169441572251473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-05,0.03374921803411047,0.014617134988492871,0.019874276425872864,0.006908839551936326,-0.00785373721603967,-0.004980535166156746,-0.010871916072246766,0.03438515033438169,0.06014583888802471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-06,0.012555920867954585,-0.0004471423471397832,0.0030473342286153247,0.001939992823498996,0.0004504504580668651,-0.002050494118420401,0.0,-0.0065310514080294734,-0.010267738886264938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-07,-0.010528152512648728,0.0016106854412794307,-0.00485851383398168,0.015039256141456733,0.0006752954674183224,0.00012827913557460552,-0.0018004298194967481,-0.026818111120186373,-0.03832174237789489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-08,-0.02694631268082442,-0.013147309710539474,-0.01677548858705226,-8.687147434402314e-05,-0.0006752954674183947,0.008557431364064708,-0.0018036772146176139,0.008506300321895864,0.009529272433302632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
