,ICICI_Close,Nifty_Close,BankNifty_Close,Gold_Close,USD_INR,Bond_10Y,Bond_5Y,US_10Y,US_5Y,FII_Net,DII_Net,CPI_Index,WPI_Index,Trade_Balance_Billion_USD,Repo_Rate_%,CRR_%,Real_GDP_YoY_Growth_%,Net Profit (₹ Cr),NII (₹ Cr)
2010-01-22,127.441162109375,5036.0,8772.548828125,1089.199951171875,46.21,7.567,7.152,3.5980000495910645,2.3399999141693115,325.91,-1300.31,65.03028,78.4632109468159,-12.47613,6.0,5.0,10.149064571049893,878.0,2100.0
2010-01-25,125.9404525756836,5007.89990234375,8696.498046875,1095.199951171875,46.06,7.583,7.164,3.630000114440918,2.361000061035156,325.91,-1300.31,65.03028,78.4632109468159,-12.47613,6.0,5.0,10.149064571049893,878.0,2100.0
2010-01-26,125.9404525756836,5007.89990234375,8696.498046875,1097.9000244140625,46.06,7.583,7.164,3.630000114440918,2.3529999256134033,325.91,-1300.31,65.03028,78.4632109468159,-12.47613,6.0,5.0,10.149064571049893,878.0,2100.0
2010-01-27,119.3462905883789,4853.10009765625,8329.703125,1084.4000244140625,46.3,7.544,7.139,3.6440000534057617,2.382999897003174,325.91,-1300.31,65.03028,78.4632109468159,-12.47613,6.0,5.0,10.149064571049893,878.0,2100.0
2010-01-28,119.4599838256836,4867.25,8423.751953125,1083.5999755859375,46.35,7.549,7.139,3.6579999923706055,2.4089999198913574,325.91,-1300.31,65.03028,78.4632109468159,-12.47613,6.0,5.0,10.149064571049893,878.0,2100.0
2010-01-29,125.87220001220705,4882.0498046875,8651.44921875,1083.0,46.08,7.591,7.154,3.6089999675750737,2.3480000495910645,325.91,-1300.31,65.03028,78.4632109468159,-12.47613,6.0,5.0,10.149064571049893,878.0,2100.0
2010-02-01,126.6983642578125,4899.7001953125,8649.1494140625,1104.300048828125,46.27,7.638,7.176,3.6540000438690186,2.375,325.91,-1300.31,65.03028,78.4632109468159,-12.47613,6.0,5.0,10.149064571049893,878.0,2100.0
2010-02-02,124.1516571044922,4830.10009765625,8468.0517578125,1117.4000244140625,46.11,7.676,7.227,3.634999990463257,2.3570001125335693,325.91,-1300.31,65.03028,78.4632109468159,-12.47613,6.0,5.0,10.149064571049893,878.0,2100.0
2010-02-03,127.25170135498048,4931.85009765625,8631.7490234375,1111.4000244140625,45.97,7.669,7.227,3.703000068664551,2.4019999504089355,325.91,-1300.31,65.03028,78.4632109468159,-12.47613,6.0,5.0,10.149064571049893,878.0,2100.0
2010-02-04,125.6372528076172,4845.35009765625,8471.0009765625,1062.4000244140625,46.21,7.693,7.227,3.609999895095825,2.305000066757202,325.91,-1300.31,65.03028,78.4632109468159,-12.47613,6.0,5.0,10.149064571049893,878.0,2100.0
2010-02-05,120.99102020263672,4718.64990234375,8223.154296875,1052.199951171875,46.72,7.678,7.189,3.5460000038146973,2.2149999141693115,325.91,-1300.31,65.03028,78.4632109468159,-12.47613,6.0,5.0,10.149064571049893,878.0,2100.0
2010-02-08,122.08245849609376,4760.39990234375,8342.103515625,1065.699951171875,46.79,7.678,7.176,3.5920000076293945,2.263000011444092,325.91,-1300.31,65.03028,78.4632109468159,-12.47613,6.0,5.0,10.149064571049893,878.0,2100.0
2010-02-09,123.15117645263672,4792.64990234375,8392.3525390625,1076.699951171875,46.49,7.701,7.189,3.632999897003174,2.306999921798706,325.91,-1300.31,65.03028,78.4632109468159,-12.47613,6.0,5.0,10.149064571049893,878.0,2100.0
